symbol,date,open,high,low,close,day_change,day_change_pct,volume
TATASTEEL.NS,2025-07-15,160.26,160.85,157.95,159.00,-1.26,-0.79,17993051
TATASTEEL.NS,2025-07-16,159.00,159.27,157.00,157.33,-1.67,-1.05,14591157
TATASTEEL.NS,2025-07-17,157.50,160.70,157.12,159.90,2.40,1.52,21733241
TATASTEEL.NS,2025-07-18,160.10,162.75,160.10,162.37,2.27,1.42,30728478
TATASTEEL.NS,2025-07-21,162.50,165.60,162.49,163.02,0.52,0.32,29812899
TATASTEEL.NS,2025-07-22,163.30,164.41,162.73,163.04,-0.26,-0.16,13615524
TATASTEEL.NS,2025-07-23,163.25,164.14,161.88,162.77,-0.48,-0.29,14287149
TATASTEEL.NS,2025-07-24,163.00,164.75,162.81,163.48,0.48,0.29,14377270
TATASTEEL.NS,2025-07-25,163.50,163.59,161.05,161.43,-2.07,-1.27,12443495
TATASTEEL.NS,2025-07-28,161.23,162.29,159.09,159.68,-1.55,-0.96,19296285
TATASTEEL.NS,2025-07-29,158.20,162.45,158.20,161.69,3.49,2.21,15262937
TATASTEEL.NS,2025-07-30,161.69,162.79,161.05,161.36,-0.33,-0.20,16083106
TATASTEEL.NS,2025-07-31,161.00,162.13,156.56,157.94,-3.06,-1.90,26176976
